schema_version,participant_id,session_id,trial_id,attempt_id,input_source,controller_family,order_strategy,order_seed,estimator_state_policy,max_control_amplitude,timestamp,monotonic_timestamp,missed_cycle_count,cursor_timestamp,cursor_sample_sequence,study_running,study_phase,study_controller_mode,start_x,start_y,start_z,end_x,end_y,end_z,cursor_x,cursor_y,cursor_z,haply_pos_x,haply_pos_y,haply_pos_z,haply_vel_x,haply_vel_y,haply_vel_z,K_h,u_h,K_a,u_a,endpoint_reached
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.833291,17712.895090691,0,1785327625.8316417,405,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0805284162,0.07923928000000002,0.0,,,,,,,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}",,
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.8434722,17712.90526304,0,1785327625.8415103,406,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0803656785,0.07923814000000001,0.0,-0.0013699275,-0.120508164,0.23299822,0.00035816856,0.001639138,6.6427965e-05,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[2.368613628505588e-05, -0.006367737603601576, 0.0]",
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.8534203,17712.9152046,0,1785327625.8516357,407,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0803656785,0.07923814000000001,0.0,-0.0013699275,-0.120508164,0.23299822,0.00030307128,0.0012948615,-0.0001235647,"[-6.252834994437749, 11.342970810540681, 0.0, 0.0, 0.0, 0.0, -0.8891101251563838, 2.5165332403062757]","[0.18476380385837343, 0.14128953857953505, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-0.00020859239952354008, -0.006366709082675608, 0.0]",
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.8633459,17712.925132519,0,1785327625.8614125,408,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.080202891,0.07923698000000001,0.0,-0.001315665,-0.12050986,0.23299764,0.00026120254,0.0009824128,-0.00018351557,"[-6.256438114924006, 11.345388655343857, 0.0, 0.0, 0.0, 0.0, -0.8377836078934194, 2.479082315717664]","[-0.0022878449052082007, 0.13340710344343745, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[1.6392982588826088e-05, -0.00636828513626127, 0.0]",
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.873419,17712.935205582,0,1785327625.871562,409,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0800401311,0.07923582000000001,0.0,-0.0012614117,-0.12051155,0.23299706,0.00023954193,0.0007154656,-0.00013445113,"[-6.3574754340579505, 11.515703543961546, 0.0, 0.0, 0.0, 0.0, -0.783667646770646, 2.439632644910452]","[0.1904504402142258, 0.12449941221218229, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-0.00021809246265339023, -0.006367223408948629, 0.0]",
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.8832765,17712.94508304,0,1785327625.8817039,410,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0800030526,0.07926904000000001,0.0,-0.0012490522,-0.12045462,0.23301367,0.0003052878,0.00083219935,-6.0172215e-07,"[-6.341464787249797, 11.488950703189673, 0.0, 0.0, 0.0, 0.0, -0.7398185879859459, 2.4076662239382993]","[0.18398555662064206, 0.11753044352784701, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-0.00021703151253726495, -0.006367839935822849, 0.0]",
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.893377,17712.955166804,0,1785327625.891442,411,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0800030526,0.07926904000000001,0.0,-0.0012490522,-0.12045462,0.23301367,0.00035472526,0.000939563,9.523556e-05,"[-6.322505770658059, 11.457318649211981, 0.0, 0.0, 0.0, 0.0, -0.8108996736324139, 2.4610089760257816]","[0.04186854185424558, 0.13721233770258726, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-4.961786698510752e-05, -0.006398037384603631, 0.0]",False
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.903312,17712.965109932,0,1785327625.901484,412,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.07998122939999999,0.07916894000000002,0.0,-0.0012417778,-0.120421275,0.23296362,0.0014140087,0.0009967585,0.00016358784,"[-6.322512843816372, 11.457323385126886, 0.0, 0.0, 0.0, 0.0, -0.6617911484054538, 2.352377936011078]","[-1.9300102707018168e-05, 0.10540284088703418, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[1.3649985205873168e-07, -0.006353460606515514, 0.0]",False
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.9135132,17712.975293784,0,1785327625.9117048,413,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.07998122939999999,0.07916894000000002,0.0,-0.0012417778,-0.120421275,0.23296362,0.0017378845,0.0011495017,5.6617384e-05,"[-6.3242626480724216, 11.460218423397471, 0.0, 0.0, 0.0, 0.0, -0.34663496066837585, 2.1463422012921876]","[0.025024090690317635, 0.033778390948808135, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-3.0664224354266525e-05, -0.006264837828525947, 0.0]",False
3,P04,7f0eccfb-7a6c-42cb-abc6-37a3a533fbe4,6,1,haply,mpc,seeded_random,494854408,persist_session,10.0,1785327625.923437,17712.985224912,0,1785327625.921595,414,True,normal,fixed,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.07995934199999999,0.07906871999999998,0.0,-0.001234482,-0.120387875,0.23291351,0.0012846383,0.0010090024,-0.00017810505,"[-6.3242377523240165, 11.460201754491777, 0.0, 0.0, 0.0, 0.0, -0.6175636212913426, 2.3446684195583027]","[0.00011870973715383197, 0.09829694698350445, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 1000.0, ""weight_trajectory"": 1000.0, ""weight_goal"": 10.0, ""Q"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[1000.0, 0.0], [0.0, 1000.0]], ""P"": [[10.0, 0.0, 0.0, 0.0], [0.0, 1000.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0], [0.0, 0.0, 0.0, 1000.0]]}","[-8.462371399322071e-07, -0.006401608811692924, 0.0]",False
